timestamp	model	layer	trace_lines	trace_handle_lines	trace_gemm_lines	trace_internal_like_lines	trace_backend_like_lines	bench_lines	profile_lines	fallback_dat_openat	fallback_hsaco_openat	libggml_hip_openat	summary_path	trace_path	bench_path	profile_path
20260324_021652	tinyllama:latest	1	1	1	0	1	0	0	0	54	54	4	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_summary_tinyllama_latest_20260324_021652.txt	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_trace_tinyllama_latest_20260324_021652.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_bench_tinyllama_latest_20260324_021652.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_profile_tinyllama_latest_20260324_021652.log
20260324_021652	tinyllama:latest	8	0	0	0	0	0	0	0	54	54	4	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_summary_tinyllama_latest_20260324_021659.txt	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_trace_tinyllama_latest_20260324_021659.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_bench_tinyllama_latest_20260324_021659.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_profile_tinyllama_latest_20260324_021659.log
20260324_021652	tinyllama:latest	9	1	1	0	1	0	0	0	54	54	4	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_summary_tinyllama_latest_20260324_021706.txt	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_trace_tinyllama_latest_20260324_021706.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_bench_tinyllama_latest_20260324_021706.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_profile_tinyllama_latest_20260324_021706.log
20260324_021652	tinyllama:latest	15	1	1	0	1	0	0	0	54	54	4	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_summary_tinyllama_latest_20260324_021713.txt	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_trace_tinyllama_latest_20260324_021713.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_bench_tinyllama_latest_20260324_021713.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_profile_tinyllama_latest_20260324_021713.log
20260324_021652	tinyllama:latest	63	1	1	0	1	0	0	0	54	54	4	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_summary_tinyllama_latest_20260324_021720.txt	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_trace_tinyllama_latest_20260324_021720.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_bench_tinyllama_latest_20260324_021720.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/g4_rocblas_profile_tinyllama_latest_20260324_021720.log
