case	phase	verdict	max_gpu_use	json	journal	rocm_smi
baseline	first	CPU	0	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_baseline_first_20260320_193549.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_baseline_first_20260320_193549.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_baseline_first_20260320_193549.log
baseline	second	CPU	0	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_baseline_second_20260320_193549.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_baseline_second_20260320_193549.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_baseline_second_20260320_193549.log
