"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1527,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9857,337335988680878,337335988687545,0,0,16,0,32,256,1,1,5632,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1528,642,"void mul_mat_vec_q<(ggml_type)2, 1, true>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9859,337335988687545,337335988716879,512,0,28,0,48,64,2,1,131072,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1529,28,"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",9860,337335988716879,337335988725324,512,0,12,0,64,1024,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1530,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9862,337335988725324,337335988730658,0,0,16,0,32,256,1,1,2048,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1531,617,"void mul_mat_vec_q<(ggml_type)2, 1, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9864,337335988730658,337335988742954,512,0,24,0,32,64,2,1,131072,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1532,124,"void rope_norm<true, false, float, float>(float const*, float*, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int)",9866,337335988742954,337335988748140,0,0,24,0,32,1,256,1,32,256,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1533,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9869,337335988748140,337335988752732,0,0,16,0,32,256,1,1,2048,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1534,617,"void mul_mat_vec_q<(ggml_type)2, 1, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9871,337335988752732,337335988758658,512,0,24,0,32,64,2,1,16384,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1535,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9874,337335988758658,337335988763103,0,0,16,0,32,256,1,1,2048,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1536,617,"void mul_mat_vec_q<(ggml_type)2, 1, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9876,337335988763103,337335988768881,512,0,24,0,32,64,2,1,16384,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1537,131,"void rope_norm<true, false, float, __half>(float const*, __half*, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int)",9878,337335988768881,337335988774363,0,0,20,0,32,1,256,1,4,256,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1538,144,"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",9879,337335988774363,337335988778807,0,0,16,0,48,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1539,230,"void flash_attn_tile<64, 64, 1, 8, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)",9887,337335988778807,337335988791993,6144,0,84,0,112,32,4,1,32,32,4
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1540,228,"void flash_attn_combine_results<64>(float const*, HIP_vector_type<float, 2u> const*, float*, int)",9889,337335988791993,337335988798363,0,0,20,0,32,64,1,1,64,32,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1541,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9894,337335988798363,337335988801919,0,0,16,0,32,256,1,1,2048,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1542,642,"void mul_mat_vec_q<(ggml_type)2, 1, true>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9896,337335988806216,337335988819253,512,0,28,0,48,64,2,1,131072,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1543,28,"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",9897,337335988819253,337335988826068,512,0,12,0,64,1024,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1544,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9900,337335988826068,337335988830513,0,0,16,0,32,256,1,1,2048,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1545,642,"void mul_mat_vec_q<(ggml_type)2, 1, true>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9902,337335988830513,337335988878662,512,0,28,0,48,64,2,1,360448,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1546,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9905,337335988878662,337335988884588,0,0,16,0,32,256,1,1,5632,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1547,642,"void mul_mat_vec_q<(ggml_type)2, 1, true>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9907,337335988884588,337335988911108,512,0,28,0,48,64,2,1,131072,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1548,28,"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",9908,337335988911108,337335988918812,512,0,12,0,64,1024,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1549,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9910,337335988918812,337335988923701,0,0,16,0,32,256,1,1,2048,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1550,617,"void mul_mat_vec_q<(ggml_type)2, 1, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9912,337335988923701,337335988935553,512,0,24,0,32,64,2,1,131072,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1551,124,"void rope_norm<true, false, float, float>(float const*, float*, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int)",9914,337335988935553,337335988940738,0,0,24,0,32,1,256,1,32,256,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1553,617,"void mul_mat_vec_q<(ggml_type)2, 1, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9919,337335988945331,337335988950813,512,0,24,0,32,64,2,1,16384,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1552,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9917,337335988940738,337335988945331,0,0,16,0,32,256,1,1,2048,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1554,34,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)",9922,337335988950813,337335988955257,0,0,16,0,32,256,1,1,2048,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1555,617,"void mul_mat_vec_q<(ggml_type)2, 1, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)",9924,337335988955257,337335988961332,512,0,24,0,32,64,2,1,16384,2,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1556,131,"void rope_norm<true, false, float, __half>(float const*, __half*, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int)",9926,337335988961332,337335988966813,0,0,20,0,32,1,256,1,4,256,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1557,144,"void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)",9927,337335988966813,337335988971554,0,0,16,0,48,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 1",2,2,3280793,1558,230,"void flash_attn_tile<64, 64, 1, 8, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)",9935,337335988971554,337335988985036,6144,0,84,0,112,32,4,1,32,32,4
